File,Time,Latitude,Longitude,Altitude,ENL,terrain_elev_at_first_engine_event (ft),dynamic_AGL_at_first_engine_event (ft),Terrain_EPQS,Terrain_DIFF
83EV6XB1.igc,194835,28.364933333333333,-81.68216666666666,190,2,139.96,611.36,135.20129829297684,4.758701707023164
84EVPKC1.igc,165639,33.62985,-81.32773333333333,78,1,419.93,-59.04,422.4928042415541,-2.5628042415540904
46HVPHZ1.igc,194539,32.770783333333334,-103.2141,1170,11,3740.08,1505.98,3695.996820771895,44.08317922810511
13FV7H21.igc,205348,28.20065,-81.60205,72,1,108.27,239.5,109.65794441128509,-1.3879444112850905
03DVAAW2.igc,181922,28.404016666666667,-81.83773333333333,-39,0,110.97,-84.72,111.61623082893712,-0.6462308289371208
53FV66G1.igc,201807,28.5428,-81.87131666666667,138,1,107.6,515.76,104.12725271199324,3.472747288006758
35OV7SY1.igc,180256,40.67515,-77.6282,452,4,820.02,705.57,821.2356629921388,-1.2156629921388458
16GV7VE1.igc,195625,47.312733333333334,-119.51653333333333,279,3,1256.56,-65.62,1260.339171525078,-3.779171525078027
33gz5ay2.igc,164833,28.405333333333335,-81.83776666666667,-34,0,112.0,45.48,113.25254577303149,-1.2525457730314855
173VACN1.igc,194357,39.74231666666667,-111.87006666666667,1458,15,4991.8,-60.7,4993.787710037422,-1.9877100374214933
16FV8AW1.igc,190536,47.3123,-119.517,329,3,1256.56,-65.62,1259.0910345789696,-2.5310345789696385
16FVAHZ1.igc,191322,41.77296666666667,-122.47043333333333,717,7,2628.26,-98.73,2638.0989338187696,-9.83893381876942
257_057.igc,220159,35.1944,-84.56148333333333,973,9,2498.22,490.62,2477.804348354697,20.41565164530266
163V7VE1.igc,190059,38.998266666666666,-119.74911666666667,1399,14,4709.39,-73.56,4714.005989076533,-4.615989076532969
14MVAGO1.igc,173409,33.63033333333333,-81.32548333333334,52,0,427.95,-109.71,430.3215945511305,-2.3715945511304994
17UV8101.igc,183619,30.191833333333335,-95.98718333333333,614,6,323.15,1911.1,286.26450380941395,36.885496190586025
16SV0XL1.igc,183503,39.733266666666665,-111.86998333333334,1470,15,5008.2,-47.57,5012.030574154658,-3.8305741546582794
369c48c4.igc,210619,41.72756666666667,-122.54343333333334,788,7,2516.43,22.94,2529.2615122913526,-12.831512291352738
375g8nh1.igc,195022,47.31235,-119.51733333333334,395,3,1256.56,-78.74,1258.8261083500195,-2.266108350019522
