,flight_id,flight_date,start_time,end_time,drift_distance,Wind_Magnitude_Avg,TAS_Avg,TAS_Min,TAS_Max,Cal_TS_Avg,Cal_TS_Min,Cal_TS_Max
60,184VAEQ1.igc,08/04/2021,2021-08-04 17:35:43,2021-08-04 17:36:07,0.026390142472895967,,51.01317494600432,47.55939524838013,53.498920086393085,,,
61,184VAEQ1.igc,08/04/2021,2021-08-04 20:03:09,2021-08-04 20:03:37,0.059080058853181495,,56.47984161267098,51.436285097192226,65.05399568034557,,,
62,86GV6O11.igc,06/16/2018,2018-06-16 18:10:10,2018-06-16 18:10:28,0.06495148705666613,,62.76295896328295,58.47732181425486,70.09719222462202,,,
63,86GV6O11.igc,06/16/2018,2018-06-16 18:33:50,2018-06-16 18:34:12,0.06266506207901255,,64.41819654427646,59.303455723542115,80.54535637149027,,,
64,38OV7SK1.igc,08/24/2023,2023-08-24 17:41:25,2023-08-24 17:42:05,0.03585350120522681,,53.76113660907127,51.2365010799136,56.295896328293736,,,
65,38OV7SK1.igc,08/24/2023,2023-08-24 18:39:33,2023-08-24 18:40:05,0.03675453201300084,,54.07729689317161,46.36069114470842,61.409287257019436,,,
66,38OV7SK1.igc,08/24/2023,2023-08-24 19:59:34,2023-08-24 20:00:08,0.03897006285432504,,54.34305255579553,48.909287257019436,58.45032397408207,,,
67,38OV7SK1.igc,08/24/2023,2023-08-24 20:08:23,2023-08-24 20:08:49,0.037984863190770726,,55.631235215468486,48.871490280777536,60.210583153347734,,,
68,38OV7SK1.igc,08/24/2023,2023-08-24 20:24:43,2023-08-24 20:25:15,0.03773794527573213,,55.71668881874064,52.203023758099356,59.114470842332615,,,
69,43PVALM1.igc,03/25/2024,2024-03-25 19:16:06,2024-03-25 19:16:52,0.025693139423459833,,49.05760305133036,44.92980561555075,54.670626349892004,,,
70,16KVA9T1.igc,06/20/2021,2021-06-20 17:21:34,2021-06-20 17:22:43,0.03263959630509632,,63.5881672323357,58.49352051835853,69.13066954643628,,,
71,18FVAA22.igc,08/15/2021,2021-08-15 18:01:44,2021-08-15 18:01:56,0.001245850909660412,,0.0,0.0,0.0,,,
72,18FVAA22.igc,08/15/2021,2021-08-15 20:21:55,2021-08-15 20:22:19,0.06491224391254247,,62.74131915600598,57.10043196544276,65.39956803455723,,,
73,18FVAA22.igc,08/15/2021,2021-08-15 21:17:14,2021-08-15 21:17:44,0.06375498166008166,,62.13485421166306,56.11231101511879,73.16414686825054,,,
74,43JVAP12.igc,03/19/2024,2024-03-19 17:56:09,2024-03-19 17:56:39,0.026101147402303616,,51.227617919598686,46.436285097192226,55.83693304535637,,,
