Date (MM/DD/YYYY),File,Gtype,Flight Time,Start Time,End Time,Landing,Start_Alt (ft MSL),Max Altitude (ft MSL/ft AGL),Surface Height (ft MSL),Pressure Altitude (ft MSL),Offset (ft),Sensor Info,ENL_Engine_Run_Start_Times,MOP_Engine_Run_Start_Times,RPM_Engine_Run_Start_Times,ENL_Engine_Run_Altitudes_MSL,MOP_Engine_Run_Altitudes_MSL,RPM_Engine_Run_Altitudes_MSL,ENL_Engine_Run_Altitudes_AGL,MOP_Engine_Run_Altitudes_AGL,RPM_Engine_Run_Altitudes_AGL,ENL_Noise_Registration_Times,MOP_Noise_Registration_Times,RPM_Noise_Registration_Times,ENL_Noise_Registration_Altitudes_AGL,MOP_Noise_Registration_Altitudes_AGL,RPM_Noise_Registration_Altitudes_AGL
08/14/2024,4536-9239003255.igc,AS33Es18m,4:37:47,173834,221621,HOME,944,7522[6900],288,249,-39,"AS33Es18m's ENL monitor reports Engine Run 3 minutes, starts at T=173834 and: 984 msl [72 agl]; Height gain/loss is: 1719
AS33Es18m Motor noise registered by ENL sensor at t=['173835', '174210'] and [72, 1778]AGL",173834,,,984,,,72.0,,,"173835,174210",,,"72.0,1778.0",,
08/19/2024,4536-9239003396.igc,JS-3-18m,5:38:17,174620,232437,HOME,931,7660[7264],284,237,-47,"JS-3-18m's MOP monitor reports Engine Run 7 minutes, starts at T=174620 and: 931 msl [23 agl]; Height gain/loss is: 1759
JS-3-18m Motor noise registered by ENL sensor at t=['174621', '174637', '175233', '175304'] and [23, 49, 1384, 1650]AGL
JS-3-18m Motor noise registered by MOP sensor at t=['174621', '175330'] and [23, 1808]AGL",,174620,,,931,,,23.0,,"174621,174637,175233,175304","174621,175330",,"23.0,49.0,1384.0,1650.0","23.0,1808.0",
08/26/2024,4536-9240051936.igc,ArcusM,4:58:26,164237,214103,HOME,938,8136[7001],286,200,-86,"ArcusM's ENL monitor reports Engine Run 5 minutes, starts at T=164237 and: 931 msl [0 agl]; Height gain/loss is: 1903
ArcusM Motor noise registered by ENL sensor at t=['164238', '164748', '214038', '214044', '214100', '214101'] and [-2, 1972, 102, 105, 105, 105]AGL",164237,,,931,,,0.0,,,"164238,164748,214038,214044,214100,214101",,,"-2.0,1972.0,102.0,105.0,105.0,105.0",,
08/19/2024,4536-9241100440.igc,EB29R,5:07:18,181233,231951,HOME,931,9543[7658],284,254,-30,"EB29R's ENL monitor reports Engine Run 4 minutes, starts at T=181233 and: 938 msl [-9 agl]; Height gain/loss is: 2041
EB29R Motor noise registered by ENL sensor at t=['181234', '181642'] and [-9, 2107]AGL",181233,,,938,,,-9.0,,,"181234,181642",,,"-9.0,2107.0",,
08/28/2024,4536-9239003647.igc,JS-3-18m,3:30:16,173157,210213,LOUT,944,6414[5817],288,243,-45,"JS-3-18m's RPM monitor reports Engine Run 6 minutes, starts at T=202935 and: 3287 msl [2818 agl]; Height gain/loss is: 1906
JS-3-18m Motor noise registered by MOP sensor at t=['202942', '203558'] and [2815, 4803]AGL",,,202935,,,3287,,,2818.0,,"202942,203558",,,"2815.0,4803.0",
08/23/2024,4536-9240051896.igc,ArcusM, 6:36:53,175033,002726,HOME,925,9229[7441],282,240,-42,"ArcusM's ENL monitor reports Engine Run 6 minutes, starts at T=175033 and: 921 msl [-9 agl]; Height gain/loss is: 2120
ArcusM Motor noise registered by ENL sensor at t=['175034', '175719'] and [-12, 2162]AGL",175033,,,921,,,-9.0,,,"175034,175719",,,"-12.0,2162.0",,
08/26/2024,4536-9240051935.igc,ArcusM,4:51:56,164012,213208,HOME,938,8572[7345],286,197,-89,"ArcusM's ENL monitor reports Engine Run 4 minutes, starts at T=164012 and: 944 msl [13 agl]; Height gain/loss is: 1949
ArcusM Motor noise registered by ENL sensor at t=['164013', '164434'] and [10, 2018]AGL",164012,,,944,,,13.0,,,"164013,164434",,,"10.0,2018.0",,
08/28/2024,4536-9241100577.igc,JS-5,3:33:40,175446,212826,HOME,948,6358[5929],289,253,-36,"JS-5's MOP monitor reports Engine Run 22 minutes, starts at T=203828 and: 1486 msl [873 agl]; Height gain/loss is: 1909
JS-5's MOP monitor reports Engine Run 8 minutes, starts at T=210247 and: 3822 msl [3239 agl]; Height gain/loss is: 1000
JS-5 Motor noise registered by ENL sensor at t=['212758', '212759'] and [82, 85]AGL
JS-5 Motor noise registered by MOP sensor at t=['203828', '210056', '210151', '210159', '210247', '211124'] and [873, 2818, 3153, 3169, 3239, 4153]AGL",,"203828,210247",,,"1486,3822",,,"873.0,3239.0",,"212758,212759","203828,210056,210151,210159,210247,211124",,"82.0,85.0","873.0,2818.0,3153.0,3169.0,3239.0,4153.0",
08/18/2024,4536-9239003364.igc,JS-3-18m,5:32:34,181449,234723,HOME,944,8415[7353],288,248,-40,"JS-3-18m's MOP monitor reports Engine Run 4 minutes, starts at T=181449 and: 944 msl [36 agl]; Height gain/loss is: 1910
JS-3-18m Motor noise registered by ENL sensor at t=['181450', '181507', '181900', '181905'] and [33, 69, 1621, 1611]AGL
JS-3-18m Motor noise registered by MOP sensor at t=['181450', '181935'] and [33, 1939]AGL",,181449,,,944,,,36.0,,"181450,181507,181900,181905","181450,181935",,"33.0,69.0,1621.0,1611.0","33.0,1939.0",
08/15/2024,4536-9239003293.igc,JS-3-18m,5:35:04,174238,231742,HOME,944,8408[6568],288,257,-31,"JS-3-18m's MOP monitor reports Engine Run 8 minutes, starts at T=174238 and: 961 msl [53 agl]; Height gain/loss is: 1765
JS-3-18m Motor noise registered by ENL sensor at t=['174239', '174246', '174315', '174615', '174618', '174633', '174645', '174650', '174710', '174720', '174814', '174825', '174835', '174915'] and [53, 49, 226, 788, 790, 830, 833, 856, 955, 998, 971, 978, 939, 1168]AGL
JS-3-18m Motor noise registered by MOP sensor at t=['174239', '175107'] and [53, 1851]AGL",,174238,,,961,,,53.0,,"174239,174246,174315,174615,174618,174633,174645,174650,174710,174720,174814,174825,174835,174915","174239,175107",,"53.0,49.0,226.0,788.0,790.0,830.0,833.0,856.0,955.0,998.0,971.0,978.0,939.0,1168.0","53.0,1851.0",
