,File,Model,All_Min_TAS_knots,All_Max_TAS_knots,All_Avg_TAS_knots,All_Post_Run_Min_TAS_knots,All_Post_Run_Max_TAS_knots,All_Post_Run_Avg_TAS_knots,Circling_Segment_Found,Min_Speed_While_Engine_Running_knots,Max_Speed_While_Engine_Running_knots,Avg_Speed_While_Engine_Running_knots
222,4536-9239003312.igc,VENTUS 3T,78.8,91.7,86.6,45.0,94.0,77.6,True,56.98,76.54,61.34
223,4536-9239003351.igc,AS 33ES,45.2,93.6,64.1,45.5,94.8,71.7,True,63.92,96.00,73.61
224,4536-9239003639.igc,AS 33ES,"60.2,45.4","71.6,79.2","64.5,68.2","58.0,65.9","85.9,94.3","70.8,85.0",True,"69.45,61.88","92.96,85.39","75.28,69.51"
225,4536-9239003629.igc,AS 33ES,53.9,75.8,59.4,57.6,94.4,83.8,True,44.48,86.17,70.32
226,4536-9239003143.igc,AS 33ES,45.4,91.8,71.4,45.0,94.9,67.6,True,52.25,88.06,77.50
227,4536-9239003383.igc,AS 33ES,57.8,67.0,62.2,56.6,77.3,70.4,True,63.84,88.37,71.31
228,4536-9239003511.igc,AS 33ES,45.9,59.4,51.2,46.2,93.7,68.8,True,67.89,95.18,73.41
229,4536-9239003186.igc,AS 33ES,61.6,74.5,66.5,60.0,79.7,69.5,True,64.61,96.40,71.81
230,4536-9239003393.igc,VENTUS 3T,63.2,88.8,75.6,45.1,94.9,73.8,True,0.00,70.84,59.51
231,4536-9239003425.igc,VENTUS 3T,57.0,63.9,59.2,58.9,79.1,68.9,True,0.00,62.75,57.26
232,4536-9239003489.igc,VENTUS 3T,45.9,94.7,65.4,46.5,94.7,69.8,True,0.00,67.57,58.18
233,4536-9239003671.igc,AS 33ES,45.9,60.1,51.1,48.1,94.8,77.7,True,68.50,90.25,73.42
234,4536-9239003649.igc,VENTUS 3T,"49.2,45.6","68.2,49.7","57.9,46.6","55.5,45.6","83.7,71.3","71.2,61.9",True,"46.84,50.98","64.75,60.13","55.05,55.31"
235,4536-9239003625.igc,AS 33ES,"45.0,50.2","70.0,63.3","52.7,52.3","45.6,46.8","71.5,69.3","62.3,58.9",True,"53.62,49.09","78.42,66.66","64.90,61.49"
236,4536-9239003521.igc,VENTUS 3T,52.9,74.9,57.2,45.6,81.8,68.6,True,0.00,67.60,58.53
237,4536-9239003415.igc,AS 33ES,49.0,79.3,55.8,51.7,88.2,71.8,True,63.98,87.48,72.17
238,4536-9239003361.igc,VENTUS 3T,51.9,74.5,60.6,54.3,79.1,67.2,True,0.00,66.60,57.17
239,4536-9239003543.igc,AS 33ES,54.4,66.1,59.0,52.0,83.5,70.2,True,65.26,98.56,74.43
240,4536-9239003447.igc,AS 33ES,60.4,74.6,68.1,50.3,88.2,70.8,True,67.54,82.36,72.31
241,4536-9239003479.igc,AS 33ES,51.9,62.4,56.1,51.2,86.2,71.3,True,61.47,92.99,73.74
242,4536-9239003287.igc,AS 33ES,46.1,89.6,53.3,47.1,88.9,69.0,True,64.33,88.86,73.59
243,4536-9239003297.igc,VENTUS 3T,56.0,70.7,64.0,54.5,93.1,69.9,True,0.00,66.54,56.99
244,4536-9239003703.igc,AS 33ES,67.2,84.5,77.3,45.5,90.8,66.6,True,68.59,92.26,75.25
245,4536-9239003457.igc,VENTUS 3T,45.3,49.9,47.2,46.5,95.0,70.2,True,0.00,63.96,55.76
246,4536-9239003632.igc,VENTUS 3T,49.7,91.1,64.2,60.1,91.8,75.6,True,42.73,93.13,57.74
247,4536-9239003653.igc,AS 33ES,54.5,68.5,58.4,51.5,76.4,68.1,True,,,
248,2020-08-18-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),45.4,94.9,69.3,45.4,81.7,65.1,True,,,
249,46RGJUM1.IGC,VENTUS 3F,45.0,91.7,54.6,45.4,94.3,78.7,True,,,
250,2018-06-29-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),53.0,79.8,58.6,45.8,70.0,57.5,True,,,
251,2018-06-09-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),"47.8,45.6","72.8,83.5","57.6,62.6","45.6,45.0","71.6,73.8","59.1,60.6",False,,,
252,2023-06-04-LXV-NBR-01.IGC,VENTUS 3F,45.0,94.3,57.0,46.9,94.9,80.7,True,63.16,83.13,73.52
253,03EGIQO1.IGC,SZD-56-3 DIANA-2 FES,47.1,61.6,52.5,46.2,80.0,67.2,True,,,
254,2024-08-04-CNI-29F-01.IGC,AS 33ES,48.9,65.3,57.1,47.3,70.7,60.2,True,,,
255,2014-05-22-NKL-10R-01.IGC,DISCUS-2CT,77.3,90.3,85.5,55.0,87.1,80.4,True,,,
256,2013-04-25-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),50.3,61.6,56.3,48.5,76.4,61.3,False,,,
257,2016-05-26-CNI-21L-01.IGC,VENTUS 2CT,60.6,72.4,68.5,48.2,94.9,77.7,True,,,
258,2018-03-14-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),45.1,60.4,52.1,45.5,65.9,54.4,False,,,
259,2017-06-27-CNI-23P-01.IGC,LAK-17AT,67.0,83.4,72.8,66.7,94.9,79.1,True,,,
260,2015-10-12-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),45.0,69.4,51.4,45.1,71.6,58.3,True,,,
261,2024-06-17-CNI-27Z-01.IGC,AS 33ES,45.8,91.6,78.4,46.9,92.8,74.5,True,,,
262,2020-03-13-CNI-27G-01.IGC,VENTUS 3F,60.0,74.0,64.9,45.0,73.3,65.4,False,,,
263,2017-08-10-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),62.1,75.1,69.5,52.5,95.0,80.6,False,,,
264,2019-04-24-CNI-22A-01.IGC,VENTUS 3F,"75.5,87.9","94.6,94.6","89.1,91.4","84.9,90.9","94.6,94.6","90.0,92.6",True,,,
265,2021-06-28-CNI-27Z-01.IGC,AS 33ES,50.5,60.7,56.1,48.6,94.9,76.4,True,,,
266,03FGIQO1.IGC,SZD-56-3 DIANA-2 FES,67.8,80.0,76.0,45.5,83.8,66.0,True,,,
267,2019-07-16-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),65.0,92.2,77.2,46.1,94.7,82.2,True,,,
268,2017-09-23-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),46.8,67.9,55.3,51.7,94.9,81.7,False,,,
269,2024-04-26-LXV-NBR-01.IGC,VENTUS 3F,53.1,64.3,59.2,45.6,74.8,63.2,True,51.80,72.70,65.04
270,2022-07-17-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),47.6,64.6,56.3,50.2,89.5,70.9,False,,,
271,2019-05-07-CNI-27G-01.IGC,VENTUS 3F,"50.9,50.7","57.8,53.8","53.2,52.4","46.0,47.9","62.6,75.7","54.4,60.7",True,,,
272,2021-06-05-FLA-JUM-01.IGC,VENTUS 3F,,,,45.1,88.8,69.9,True,,,
273,2013-06-24-NKL-0T9-01.IGC,ASW 27-18 E (ASG-29E),"64.6,63.5,61.5,65.4,68.4,70.8,74.1,72.0,70.4,64.4,68.9,66.4,61.5","76.0,78.1,68.2,88.5,77.7,83.0,83.2,86.9,88.4,78.8,84.2,81.6,83.4","71.5,70.8,64.2,76.0,73.3,78.7,78.0,78.7,76.4,72.2,77.1,74.9,72.8","62.4,65.3,59.0,67.3,70.2,70.9,70.4,89.6,89.5,64.5,66.4,66.3,61.5","94.2,86.3,85.4,80.2,94.9,94.9,88.5,94.6,94.9,94.9,92.5,94.8,83.5","73.8,73.6,73.3,73.6,79.3,81.7,80.6,91.7,91.5,77.3,78.8,79.9,72.7",False,,,
274,2016-04-18-CNI-21L-01.IGC,VENTUS 2CT,60.3,88.4,66.4,57.0,83.6,73.4,True,,,
275,2019-07-19-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),69.9,94.1,80.6,46.6,80.4,67.8,True,,,
276,2011-08-06-NKL-0Z0-01.IGC,ASW 27-18 E (ASG-29E),"54.4,59.0,62.4,52.7,61.3,63.5,66.4","79.9,66.1,76.7,65.0,79.2,75.6,78.1","64.8,61.8,68.8,60.6,69.9,68.8,72.9","53.6,56.0,51.8,54.0,63.5,57.3,51.5","70.3,76.7,92.0,85.8,85.8,93.5,81.3","61.5,66.4,72.2,71.6,75.5,71.0,65.4",True,,,
277,2017-08-03-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),53.6,76.0,61.1,53.1,90.5,80.9,True,,,
278,2019-04-24-CNI-27G-01.IGC,VENTUS 3F,45.2,46.2,45.9,45.1,66.0,54.2,False,,,
279,2018-03-11-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),45.9,55.8,49.4,46.7,70.7,60.3,True,,,
280,2019-06-17-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),45.0,76.9,55.2,45.2,79.6,61.1,True,,,
281,2022-03-13-CNI-27G-01.IGC,VENTUS 3F,"52.7,64.5,60.0","63.7,77.7,76.9","57.9,70.9,72.8","49.8,45.1,59.5","77.7,85.7,71.0","68.8,72.3,64.3",True,,,
282,2018-04-19-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),76.6,93.8,82.0,46.0,94.8,79.6,False,,,
283,2016-04-19-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),48.5,62.9,52.7,69.3,78.6,75.3,False,,,
284,05JE6AB1.IGC,DUO DISCUS T,58.2,62.9,60.4,47.0,88.9,64.4,True,,,
285,2012-10-13-NKL-10R-01.IGC,DISCUS-2CT,57.4,67.8,62.3,48.3,66.0,58.1,True,,,
286,05JC3KG1.IGC,VENTUS CT,"48.2,46.9,52.5,49.2,47.8","82.0,83.0,80.0,83.6,87.5","73.0,70.1,72.4,72.8,75.8","49.9,46.4,45.5,45.1,47.5","91.0,94.1,94.5,89.4,83.7","72.2,66.5,74.0,69.9,66.3",True,,,
287,2018-06-14-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),63.6,87.5,79.8,66.2,93.2,83.9,False,,,
288,2017-07-31-NKL-0T9-01.IGC,ASW 27-18 E (ASG-29E),"58.3,61.8,60.8,56.2,74.7","75.6,76.8,69.0,65.8,89.1","67.3,70.1,65.7,61.8,85.5","57.6,61.6,51.5,51.5,63.9","76.8,89.6,89.5,89.4,88.6","68.9,78.2,69.5,81.0,78.2",True,,,
289,2019-04-21-FLA-JUM-01.IGC,VENTUS 3F,45.9,85.4,70.3,45.3,87.1,70.3,True,,,
290,2017-08-03-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),45.8,74.6,50.8,46.8,87.5,71.2,False,,,
291,2019-03-08-LXV-1KO-01.IGC,VENTUS 3F,46.0,78.8,65.5,45.1,92.3,74.9,True,,,
292,2019-05-21-CNI-28S-01.IGC,ASW 27-18 E (ASG-29E),45.6,69.8,58.6,46.8,92.1,79.0,True,,,
293,2024-04-27-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),49.7,68.7,54.9,45.2,60.3,52.3,True,,,
294,2016-05-11-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),45.8,94.2,57.9,50.2,84.9,71.5,True,,,
295,2015-06-28-CNI-20O-01.IGC,ASW 27-18 E (ASG-29E),"77.2,45.0","94.7,94.9","87.9,66.0",51.3,53.5,53.4,True,,,
296,2015-06-25-NKL-0Z0-01.IGC,ASW 27-18 E (ASG-29E),"53.6,48.5","59.8,59.5","56.3,54.5","48.1,46.9","62.7,86.8","54.8,59.7",False,,,
297,2014-04-26-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),47.8,60.6,53.6,45.0,93.7,61.4,True,,,
298,566C4OO6.IGC,DISCUS-2CT,45.2,72.4,53.3,47.1,67.3,56.7,False,,,
299,2018-06-26-LXV-1OZ-01.IGC,LAK-17AT,47.0,93.7,64.5,"45.0,45.1","81.4,91.6","57.3,55.5",True,,,
300,2023-08-20-CNI-295-01.IGC,ASW-24E,60.1,69.6,63.9,45.5,63.3,54.6,True,,,
301,2013-05-17-NKL-10R-01.IGC,DISCUS-2CT,"62.5,56.7","76.4,72.5","69.1,64.0","55.9,50.9","64.2,93.8","59.6,70.8",True,,,
302,43PGDEB1.IGC,DUO DISCUS T,45.1,60.9,53.9,"45.6,45.6","94.7,83.6","78.7,61.2",True,,,
303,2012-05-18-NKL-10R-01.IGC,DISCUS-2CT,66.2,81.1,77.8,48.8,72.7,60.7,True,,,
304,2015-07-01-NKL-0Z0-01.IGC,ASW 27-18 E (ASG-29E),"62.1,63.0","71.2,76.6","65.7,68.7","63.0,60.9","91.2,94.6","70.5,79.1",False,,,
305,2015-04-23-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),55.5,58.9,57.2,45.2,63.5,54.4,True,,,
306,2024-06-07-CNI-29F-01.IGC,AS 33ES,"77.1,71.1","88.3,77.5","80.6,73.3","46.9,47.2","94.9,90.3","76.4,72.4",True,,,
307,2023-05-21-CNI-295-01.IGC,ASW-24E,"47.8,45.1,56.2,45.1","73.5,73.5,68.7,63.4","59.4,58.1,63.1,52.4","45.1,45.1,45.1,48.2","73.5,70.6,64.7,64.7","57.4,57.1,53.8,59.1",False,,,
308,2016-04-19-CNI-21U-01.IGC,ASW 27-18 E (ASG-29E),"45.1,45.3,46.2,45.1,45.3","81.0,87.3,87.9,89.6,80.2","61.7,70.7,74.3,71.6,61.2","51.7,46.0,46.3,48.2","83.9,84.5,52.5,93.8","76.5,61.0,47.8,69.3",False,,,
309,2017-08-09-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),53.1,59.0,55.8,48.1,85.6,72.0,False,,,
310,2018-05-15-CNI-27P-01.IGC,DISCUS-2CT,45.2,72.5,51.9,47.7,92.1,77.3,False,,,
311,2014-05-17-NKL-10R-01.IGC,DISCUS-2CT,63.6,82.5,72.9,47.3,71.1,58.8,True,,,
312,99FGJUM1.IGC,VENTUS 3F,51.6,74.1,67.6,46.2,80.0,59.0,True,,,
313,17UGAA51.IGC,VENTUS 3F,45.1,63.2,55.0,45.0,68.6,55.9,True,,,
314,2019-04-21-LXV-7R1-01.IGC,ASW 27-18 E (ASG-29E),50.5,57.6,53.1,47.1,77.4,64.4,True,58.74,75.09,67.72
315,2019-10-09-CNI-28S-01.IGC,ASW 27-18 E (ASG-29E),58.6,72.1,63.6,45.3,67.2,61.3,True,,,
316,2021-06-10-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),60.3,72.6,64.9,45.8,83.6,60.1,True,,,
317,2023-05-25-CNI-295-01.IGC,ASW-24E,47.7,59.4,54.6,45.2,84.1,64.4,True,,,
318,2014-04-22-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),45.0,67.3,49.6,46.7,91.4,75.6,False,,,
319,46HG1531.IGC,AS 33ES,,,,45.3,94.7,71.0,True,,,
320,2016-09-23-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),"54.9,54.8","63.3,61.8","59.4,56.5","55.6,48.2","64.4,72.7","60.0,61.8",False,,,
321,13CGIQO1.IGC,SZD-56-3 DIANA-2 FES,51.1,64.4,57.9,51.1,81.7,70.2,True,,,
322,2024-06-07-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),58.5,77.7,69.2,56.2,82.2,68.2,True,,,
323,2017-09-18-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),47.2,57.4,51.8,54.5,85.7,74.2,False,,,
324,2016-05-25-NKL-10R-01.IGC,DISCUS-2CT,48.1,68.4,53.6,46.8,80.0,60.7,True,,,
325,2013-05-08-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),61.7,67.7,64.5,48.1,81.6,65.5,False,,,
326,2018-09-22-CNI-27G-01.IGC,VENTUS 3F,54.0,76.7,63.7,78.2,94.9,87.3,True,,,
327,2014-05-23-NKL-13E-01.IGC,ASW 27-18 E (ASG-29E),54.1,67.9,64.7,45.7,66.3,59.3,True,,,
328,2018-10-13-CNI-27G-01.IGC,VENTUS 3F,56.7,68.6,62.2,64.1,93.1,79.9,False,,,
329,05KC3KG1.IGC,VENTUS CT,46.8,86.9,73.9,45.3,93.8,69.4,True,,,
330,2023-06-09-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),45.3,85.5,68.7,45.3,85.0,68.1,True,,,
331,2021-08-17-CNI-27G-01.IGC,VENTUS 3F,65.3,69.5,66.9,66.8,76.7,71.3,False,,,
332,2021-04-18-LXV-1WZ-07.IGC,ASW 27-18 E (ASG-29E),45.8,79.3,60.4,47.0,94.8,71.3,True,,,
333,2010-05-16-NKL-0YA-01.IGC,DISCUS-2CT,45.7,57.1,53.2,45.0,57.9,51.2,True,,,
334,2018-06-05-LXV-69K-01.IGC,DISCUS-2CT,"55.0,51.1,50.0,48.1,45.0","77.2,65.6,69.0,55.1,72.9","64.9,61.6,58.9,51.5,57.7","48.1,48.1,45.1,45.1,45.2","65.9,72.9,72.3,62.2,52.9","58.0,57.9,56.2,57.2,49.0",False,"59.45,51.90,50.87,50.83,52.81","79.18,61.33,59.60,57.48,81.13","67.61,55.66,54.99,53.22,63.09"
335,2015-09-23-CNI-21U-01.IGC,ASW 27-18 E (ASG-29E),"46.0,46.8,45.4,45.5,47.2,62.3,63.6,46.8,50.2,49.6,51.6,63.3,48.1","66.1,77.2,76.5,68.1,94.4,93.8,94.7,94.4,90.2,94.7,74.3,66.7,77.7","51.6,61.8,60.9,48.5,64.1,80.2,87.9,77.6,72.9,77.0,64.6,65.1,54.6","46.8,45.4,45.5,47.2,54.1,52.1,46.8,50.2,49.6,45.1,45.7,48.1,48.1,52.6","77.2,76.5,72.7,94.4,93.3,94.7,94.4,90.2,94.7,91.6,85.0,85.5,85.5,75.5","59.8,57.8,53.9,64.0,69.7,82.0,77.6,70.4,77.0,61.4,67.3,59.9,57.9,65.1",True,,,
336,2021-06-03-CNI-27G-01.IGC,VENTUS 3F,"49.0,51.8","77.0,82.7","58.9,57.8","73.6,45.5","94.7,60.6","82.2,54.5",True,,,
337,2013-09-17-NKL-NK8-02.IGC,ASW 27-18 E (ASG-29E),"51.0,59.6","94.9,90.2","69.4,67.8","45.0,45.0","90.2,68.1","63.8,58.3",False,,,
338,2018-06-27-LXV-69K-01.IGC,DISCUS-2CT,60.9,73.6,68.5,48.3,74.1,54.8,False,56.83,75.44,65.37
339,2015-04-21-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),48.4,78.4,59.4,50.1,76.7,65.3,True,,,
340,05GC48S4.IGC,DG-1000T,54.8,91.2,77.5,45.1,74.7,60.3,True,,,
341,16BLJBN2.IGC,LS 10-ST,56.2,71.1,61.5,48.3,81.0,67.1,False,56.16,96.56,66.84
342,2017-10-10-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),47.6,57.5,50.2,45.0,72.5,56.2,False,,,
343,2017-08-04-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),45.0,68.8,48.6,45.5,76.8,63.0,False,,,
344,2021-09-19-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),61.6,67.0,64.7,45.2,67.6,58.5,True,,,
345,2023-08-16-CNI-295-01.IGC,ASW-24E,45.1,72.6,62.2,45.6,77.2,62.7,True,,,
346,2010-05-19-NKL-0YA-01.IGC,DISCUS-2CT,"45.4,45.0,51.2,50.3","68.0,66.8,59.6,76.1","60.6,51.4,56.7,67.3","45.8,45.3,45.4,45.9,50.6","60.8,68.2,58.8,89.7,89.8","53.1,59.6,51.8,74.0,74.1",True,,,
347,2018-06-30-LXV-1OZ-01.IGC,LAK-17AT,45.3,75.1,50.0,45.1,73.5,59.9,True,,,
348,2020-08-20-CNI-27G-01.IGC,VENTUS 3F,53.4,61.5,59.0,47.7,86.3,71.0,True,,,
349,2016-04-18-CNI-21U-01.IGC,ASW 27-18 E (ASG-29E),"45.1,62.9","92.1,95.0","78.9,80.8",52.4,80.1,63.8,True,,,
350,2021-03-19-CNI-27G-01.IGC,VENTUS 3F,55.1,62.0,57.8,54.6,69.1,61.6,True,,,
351,2015-03-13-CNI-V7G-01.IGC,ASW 27-18 E (ASG-29E),45.1,54.1,50.8,46.0,76.3,57.3,True,50.76,78.83,59.09
352,2021-08-21-CNI-27G-01.IGC,VENTUS 3F,56.0,69.1,62.4,46.3,72.9,65.8,True,,,
353,2019-05-21-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),51.8,86.4,67.5,45.0,69.5,57.6,True,,,
354,09PFX8B1.IGC,DISCUS-2CT,61.4,68.1,63.7,63.9,92.4,79.3,False,,,
355,2013-04-25-NKL-0Z0-01.IGC,ASW 27-18 E (ASG-29E),"58.8,52.3,56.8,49.9","64.0,62.9,60.8,54.3","61.5,58.5,57.9,51.9","45.7,50.3,53.2,48.8","67.8,67.6,70.0,59.5","58.9,58.0,58.6,53.7",True,,,
356,2016-04-18-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),50.3,59.6,53.2,50.8,78.3,68.7,False,,,
357,2015-06-27-NKL-0Z0-01.IGC,ASW 27-18 E (ASG-29E),69.9,82.2,73.5,64.9,94.8,83.2,False,,,
358,2024-06-02-CNI-29F-01.IGC,AS 33ES,54.9,58.7,56.7,48.5,80.7,68.2,True,,,
359,2018-06-30-CNI-27G-01.IGC,VENTUS 3F,46.8,95.0,72.3,45.4,92.9,70.0,True,,,
360,2012-05-17-NKL-10R-01.IGC,DISCUS-2CT,"45.9,47.5","88.2,94.9","77.4,84.7","47.0,91.6","93.2,93.8","71.7,92.1",True,,,
361,2021-09-24-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),46.9,62.0,51.6,46.4,74.3,61.5,True,,,
362,2022-09-19-CNI-27G-01.IGC,VENTUS 3F,53.8,68.7,64.0,45.3,55.8,50.3,True,,,
363,2013-05-11-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),"45.1,45.8","73.7,51.0","51.8,49.3","49.2,50.5,46.0,51.0","82.7,79.8,77.4,65.2","65.7,59.5,62.2,60.0",True,,,
364,05JC48S7.IGC,DG-1000T,"45.0,62.9","94.8,94.9","80.4,67.7","52.0,45.3","94.0,76.1","76.5,65.9",True,,,
365,2017-08-08-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),45.6,48.7,47.3,46.4,59.1,55.8,True,,,
366,2013-04-23-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),"61.4,53.9","66.7,64.2","63.6,59.0","58.1,51.4","83.7,74.0","69.1,62.8",True,,,
367,2017-09-18-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),"51.1,45.4","53.9,64.5","52.9,57.2","46.0,45.8","83.8,76.9","57.6,69.2",True,,,
368,2023-07-03-FLA-D5C-01.IGC,ASW 27-18 E (ASG-29E),,,,55.9,92.5,74.2,True,,,
369,2022-09-24-CNI-29F-01.IGC,AS 33ES,45.0,63.1,53.9,45.0,70.4,54.4,True,,,
370,05GE6AB2.IGC,DUO DISCUS T,63.7,72.4,67.6,45.6,64.2,54.5,True,,,
371,2023-08-09-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),45.2,93.6,78.2,45.4,94.2,74.3,True,,,
372,2019-06-16-CNI-28H-01.IGC,ASW 27-18 E (ASG-29E),48.2,68.0,56.9,48.3,76.8,61.6,True,,,
373,2019-05-25-CNI-22A-01.IGC,VENTUS 3F,45.1,72.7,57.7,48.9,88.1,64.7,True,,,
374,2015-06-30-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),50.1,94.5,74.1,47.1,95.0,79.9,True,,,
375,2012-05-19-NKL-10R-01.IGC,DISCUS-2CT,58.1,63.0,59.9,45.2,67.7,59.0,True,,,
376,2015-07-23-NKL-0Z0-01.IGC,ASW 27-18 E (ASG-29E),"77.8,68.9","91.4,87.1","86.1,78.2","65.3,62.6","87.1,92.3","75.3,77.4",True,,,
377,16ALJBN1.IGC,LS 10-ST,,,,93.6,94.2,93.8,True,49.84,95.70,63.05
378,2013-04-24-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),"55.2,53.6","66.6,68.0","63.4,60.5","53.1,48.4","88.5,81.9","67.6,66.0",False,,,
379,2023-06-18-CNI-295-01.IGC,ASW-24E,45.1,79.6,56.9,45.3,63.6,55.2,True,,,
380,2012-05-13-NKL-10R-01.IGC,DISCUS-2CT,45.5,62.1,48.8,45.3,77.7,57.7,True,,,
381,2018-10-07-CNI-22A-01.IGC,VENTUS 3F,54.5,62.0,58.1,50.1,65.5,57.6,True,,,
382,2022-03-13-CNI-28W-02.IGC,ASW 27-18 E (ASG-29E),46.7,52.1,47.8,48.1,94.9,62.4,True,,,
383,2019-05-15-CNI-27G-01.IGC,VENTUS 3F,46.2,57.3,52.6,45.1,53.9,50.4,False,,,
384,2018-08-05-CNI-27G-01.IGC,VENTUS 3F,45.2,68.3,55.3,45.1,73.7,55.7,False,,,
385,05GC3KG1.IGC,VENTUS CT,50.2,58.8,54.6,53.2,77.2,63.2,True,,,
386,43TGDEB1.IGC,DUO DISCUS T,"52.9,47.2","58.3,55.9","55.6,51.9","45.4,45.9","56.7,70.7","51.3,55.6",True,,,
387,2019-03-09-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),62.7,66.6,64.3,50.5,83.6,69.7,True,,,
388,2023-06-17-CNI-295-01.IGC,ASW-24E,78.1,94.3,85.2,71.2,94.9,82.3,True,,,
389,2013-03-09-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),"53.7,50.9","67.7,53.4","57.9,52.3","52.4,51.5","75.7,71.4","63.2,64.0",False,,,
390,2018-10-10-CNI-27G-01.IGC,VENTUS 3F,45.4,64.5,52.8,45.2,71.3,61.1,True,,,
391,2022-09-19-CNI-28S-01.IGC,ASW 27-18 E (ASG-29E),45.9,56.3,49.6,45.8,67.6,53.8,False,,,
392,2017-07-02-NKL-10R-01.IGC,DISCUS-2CT,"50.5,64.7","69.5,78.6","59.1,68.6","53.7,67.0","78.6,94.4","62.5,81.5",True,,,
393,2016-06-11-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),68.4,80.7,74.4,74.1,94.9,86.2,True,,,
394,2013-04-26-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),57.7,65.2,62.5,52.1,71.6,64.4,False,,,
395,2015-05-16-NKL-10R-01.IGC,DISCUS-2CT,"46.2,45.2","85.8,94.9","72.6,76.2","45.6,46.5","84.8,94.6","69.3,86.8",True,,,
396,2019-04-22-CNI-22A-01.IGC,VENTUS 3F,45.6,85.6,71.1,45.5,82.9,66.3,True,,,
397,2022-09-19-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),55.8,60.2,58.0,46.8,51.6,49.5,True,,,
398,2017-08-10-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),62.0,77.9,68.3,45.9,94.8,65.4,True,,,
399,05LC3KG1.IGC,VENTUS CT,48.3,61.5,55.4,56.7,79.1,63.4,True,,,
400,2015-09-24-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),46.0,62.4,53.6,50.6,84.4,74.2,True,,,
401,2016-04-19-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),45.0,70.6,54.1,47.1,86.3,69.3,True,,,
402,2017-09-17-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),46.9,46.9,46.9,48.0,83.7,65.0,True,,,
403,2015-05-20-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),"70.1,49.9,93.3,48.0","91.5,84.0,94.7,60.2","78.7,67.5,94.1,52.8","70.3,48.0","84.0,83.8","77.9,57.6",False,,,
404,2014-05-17-NKL-13E-01.IGC,ASW 27-18 E (ASG-29E),"46.0,46.4","50.2,67.8","47.7,62.8","45.1,45.4,46.5","66.4,94.6,83.6","54.1,79.5,69.3",True,,,
405,2022-09-19-CNI-295-01.IGC,ASW-24E,45.1,55.6,49.7,46.0,70.4,63.1,False,,,
