,File,Model,All_Min_TAS_knots,All_Max_TAS_knots,All_Avg_TAS_knots,All_Post_Run_Min_TAS_knots,All_Post_Run_Max_TAS_knots,All_Post_Run_Avg_TAS_knots,Circling_Segment_Found,Min_Speed_While_Engine_Running_knots,Max_Speed_While_Engine_Running_knots,Avg_Speed_While_Engine_Running_knots
90,2018-06-27-LXV-69K-01.IGC,DISCUS-2CT,60.9,73.6,68.5,48.3,74.1,54.8,False,56.83,75.44,65.37
91,2015-04-21-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),48.4,78.4,59.4,50.1,76.7,65.3,True,,,
92,05GC48S4.IGC,DG-1000T,54.8,91.2,77.5,45.1,74.7,60.3,True,,,
93,16BLJBN2.IGC,LS 10-ST,56.2,71.1,61.5,48.3,81.0,67.1,False,56.16,96.56,66.84
94,2017-10-10-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),47.6,57.5,50.2,45.0,72.5,56.2,False,,,
95,2017-08-04-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),45.0,68.8,48.6,45.5,76.8,63.0,False,,,
96,2021-09-19-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),61.6,67.0,64.7,45.2,67.6,58.5,True,,,
97,2023-08-16-CNI-295-01.IGC,ASW-24E,45.1,72.6,62.2,45.6,77.2,62.7,True,,,
98,2010-05-19-NKL-0YA-01.IGC,DISCUS-2CT,"45.4,45.0,51.2,50.3","68.0,66.8,59.6,76.1","60.6,51.4,56.7,67.3","45.8,45.3,45.4,45.9,50.6","60.8,68.2,58.8,89.7,89.8","53.1,59.6,51.8,74.0,74.1",True,,,
99,2018-06-30-LXV-1OZ-01.IGC,LAK-17AT,45.3,75.1,50.0,45.1,73.5,59.9,True,,,
100,2020-08-20-CNI-27G-01.IGC,VENTUS 3F,53.4,61.5,59.0,47.7,86.3,71.0,True,,,
101,2016-04-18-CNI-21U-01.IGC,ASW 27-18 E (ASG-29E),"45.1,62.9","92.1,95.0","78.9,80.8",52.4,80.1,63.8,True,,,
102,2021-03-19-CNI-27G-01.IGC,VENTUS 3F,55.1,62.0,57.8,54.6,69.1,61.6,True,,,
103,2015-03-13-CNI-V7G-01.IGC,ASW 27-18 E (ASG-29E),45.1,54.1,50.8,46.0,76.3,57.3,True,50.76,78.83,59.09
104,2021-08-21-CNI-27G-01.IGC,VENTUS 3F,56.0,69.1,62.4,46.3,72.9,65.8,True,,,
105,2019-05-21-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),51.8,86.4,67.5,45.0,69.5,57.6,True,,,
106,09PFX8B1.IGC,DISCUS-2CT,61.4,68.1,63.7,63.9,92.4,79.3,False,,,
107,2013-04-25-NKL-0Z0-01.IGC,ASW 27-18 E (ASG-29E),"58.8,52.3,56.8,49.9","64.0,62.9,60.8,54.3","61.5,58.5,57.9,51.9","45.7,50.3,53.2,48.8","67.8,67.6,70.0,59.5","58.9,58.0,58.6,53.7",True,,,
108,2016-04-18-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),50.3,59.6,53.2,50.8,78.3,68.7,False,,,
109,2015-06-27-NKL-0Z0-01.IGC,ASW 27-18 E (ASG-29E),69.9,82.2,73.5,64.9,94.8,83.2,False,,,
110,2024-06-02-CNI-29F-01.IGC,AS 33ES,54.9,58.7,56.7,48.5,80.7,68.2,True,,,
111,2018-06-30-CNI-27G-01.IGC,VENTUS 3F,46.8,95.0,72.3,45.4,92.9,70.0,True,,,
112,2012-05-17-NKL-10R-01.IGC,DISCUS-2CT,"45.9,47.5","88.2,94.9","77.4,84.7","47.0,91.6","93.2,93.8","71.7,92.1",True,,,
113,2021-09-24-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),46.9,62.0,51.6,46.4,74.3,61.5,True,,,
114,2022-09-19-CNI-27G-01.IGC,VENTUS 3F,53.8,68.7,64.0,45.3,55.8,50.3,True,,,
115,2013-05-11-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),"45.1,45.8","73.7,51.0","51.8,49.3","49.2,50.5,46.0,51.0","82.7,79.8,77.4,65.2","65.7,59.5,62.2,60.0",True,,,
116,05JC48S7.IGC,DG-1000T,"45.0,62.9","94.8,94.9","80.4,67.7","52.0,45.3","94.0,76.1","76.5,65.9",True,,,
117,2017-08-08-CNI-20Y-01.IGC,ASW 27-18 E (ASG-29E),45.6,48.7,47.3,46.4,59.1,55.8,True,,,
118,2013-04-23-NKL-10Q-01.IGC,ASW 27-18 E (ASG-29E),"61.4,53.9","66.7,64.2","63.6,59.0","58.1,51.4","83.7,74.0","69.1,62.8",True,,,
119,2017-09-18-CNI-20E-01.IGC,ASW 27-18 E (ASG-29E),"51.1,45.4","53.9,64.5","52.9,57.2","46.0,45.8","83.8,76.9","57.6,69.2",True,,,
