count,code,Manufacture,Model,Found,Gld,Engine-type,,Launch-Type,Blue Line,Max w/extented,Max extension,Min extension,Min Ext Alt,Alt loss,Method,cooldown,LD extended,Start time,Descent rate
2,3802571,DG-FLUGZEUGBAU GMBH,DG-1000T,,1,7,2-Cycle,Turbo,,,,,,,,,,,
23,3802510,GLASER-DIRKS,DG-400,,1,7,2-Cycle,Self-Launch,,,,,,,,,,,
3,3802550,GLASER-DIRKS,DG-400M/17,,1,1,Reciprocating,Self-Launch,,,,,,,,,,,
5,3802552,GLASER-DIRKS,DG-500M,,1,1,Reciprocating,Self-Launch,,,,,,,,,,,
2,3802554,DG-FLUGZEUGBAU GMBH,DG-500MB,,1,7,2-Cycle,,,,,,,,,,,,
3,3805011,GLASER DIRKS,DG-800A,,1,7,2-Cycle,,,,,,,,,,,,
4,3802005,SCHEMPP HIRTH FLUGZEUGBAU GMBH,DISCUS-2C FES,,1,10,Electric,Turbo,,,,,,,,,,,
1,056306S,WINDWARD PERFORMANCE LTD,DUCK HAWK E,,1,10,Electric,,,,,,,,,,,,
1,05641RW,HPH SPOL S R O,GLASFLUGEL 304S JET,,1,4,Turbo-jet,Self-Launch,,,,,,,,,,,
5,05606TJ,DIAMOND AIRCRAFT IND GMBH,HK 36 TC,,1,1,Reciprocating,Turbo,,,,,,,,,,,
1,2990005,DIAMOND AIRCRAFT IND GMBH,HK 36 TC-100,,1,8,4-Cycle,,,,,,,,,,,,
10,05605ML,DIAMOND AIRCRAFT INDUSTRIES,HK 36 TTC,,1,1,Reciprocating,,,,,,,,,,,,
3,2990006,DIAMOND AIRCRAFT IND GMBH,HK 36 TTC,,1,8,4-Cycle,,,,,,,,,,,,
1,3802067,SCHEMPP-HIRTH,JANUS CT,,1,7,2-Cycle,Turbo,,,,,,,,,,,
3,05641KC,JONKER SAILPLANES (PTY) LTD,JS3 RES,,1,10,Electric,Turbo,59,81,81,,,,,,,16,
1,3801969,SCHEMPP HIRTH FLUGZEUGBAU GMBH,NIMBUS 4DT,,1,1,Reciprocating,Turbo,,,,,,,,,,,
1,3801967,SCHEMPP-HIRTH,NIMBUS-4M,,1,7,2-Cycle,Self-Launch,,,,,,,,,,,
33,1130872,STEMME GMBH & CO,S10-VT,,1,8,4-Cycle,Self-Launch,,,,,,,,,,,
2,05617MP,ALISPORT SRL,SILENT 2,,1,1,Reciprocating,Self-Launch,,,,,,,,,,,
1,059020S,ALISPORT SRL,SILENT 2,,1,7,2-Cycle,,,,,,,,,,,,
2,05622Q1,ALISPORT SRL,SILENT 2 TARGA,,1,1,Reciprocating,,,,,,,,,,,,
26,05635TS,STEMME AG,STEMME S 12,,1,8,4-Cycle,Self-Launch,,,,,,,,,,,
